endpoint_id,analysis_tier,inferential_unit,predictor,n_observations,n_taxa,status
orientation_image_vertical_angle,primary,linear_endpoint,env_chelsa_bio01_native,653,145,eligible
orientation_image_vertical_angle,primary,linear_endpoint,env_chelsa_bio04_native,653,145,eligible
orientation_image_vertical_angle,primary,linear_endpoint,env_chelsa_bio12_native,653,145,eligible
orientation_image_vertical_angle,primary,linear_endpoint,env_chelsa_bio15_native,653,145,eligible
corolla_lab_lightness,primary,linear_endpoint,env_chelsa_bio01_native,779,155,eligible
corolla_lab_lightness,primary,linear_endpoint,env_chelsa_bio04_native,779,155,eligible
corolla_lab_lightness,primary,linear_endpoint,env_chelsa_bio12_native,779,155,eligible
corolla_lab_lightness,primary,linear_endpoint,env_chelsa_bio15_native,779,155,eligible
corolla_lab_chroma,primary,linear_endpoint,env_chelsa_bio01_native,779,155,eligible
corolla_lab_chroma,primary,linear_endpoint,env_chelsa_bio04_native,779,155,eligible
corolla_lab_chroma,primary,linear_endpoint,env_chelsa_bio12_native,779,155,eligible
corolla_lab_chroma,primary,linear_endpoint,env_chelsa_bio15_native,779,155,eligible
visible_floret_fraction,candidate,linear_endpoint,env_chelsa_bio01_native,779,155,eligible
visible_floret_fraction,candidate,linear_endpoint,env_chelsa_bio04_native,779,155,eligible
visible_floret_fraction,candidate,linear_endpoint,env_chelsa_bio12_native,779,155,eligible
visible_floret_fraction,candidate,linear_endpoint,env_chelsa_bio15_native,779,155,eligible
capitulum_outline_aspect_ratio,primary,linear_endpoint,env_chelsa_bio01_native,731,150,eligible
capitulum_outline_aspect_ratio,primary,linear_endpoint,env_chelsa_bio04_native,731,150,eligible
capitulum_outline_aspect_ratio,primary,linear_endpoint,env_chelsa_bio12_native,731,150,eligible
capitulum_outline_aspect_ratio,primary,linear_endpoint,env_chelsa_bio15_native,731,150,eligible
capitulum_outline_circularity,primary,linear_endpoint,env_chelsa_bio01_native,731,150,eligible
capitulum_outline_circularity,primary,linear_endpoint,env_chelsa_bio04_native,731,150,eligible
capitulum_outline_circularity,primary,linear_endpoint,env_chelsa_bio12_native,731,150,eligible
capitulum_outline_circularity,primary,linear_endpoint,env_chelsa_bio15_native,731,150,eligible
capitulum_outline_solidity,primary,linear_endpoint,env_chelsa_bio01_native,731,150,eligible
capitulum_outline_solidity,primary,linear_endpoint,env_chelsa_bio04_native,731,150,eligible
capitulum_outline_solidity,primary,linear_endpoint,env_chelsa_bio12_native,731,150,eligible
capitulum_outline_solidity,primary,linear_endpoint,env_chelsa_bio15_native,731,150,eligible
capitulum_width_profile_cv,primary,linear_endpoint,env_chelsa_bio01_native,731,150,eligible
capitulum_width_profile_cv,primary,linear_endpoint,env_chelsa_bio04_native,731,150,eligible
capitulum_width_profile_cv,primary,linear_endpoint,env_chelsa_bio12_native,731,150,eligible
capitulum_width_profile_cv,primary,linear_endpoint,env_chelsa_bio15_native,731,150,eligible
bract_projection_roughness,candidate,linear_endpoint,env_chelsa_bio01_native,904,165,eligible
bract_projection_roughness,candidate,linear_endpoint,env_chelsa_bio04_native,904,165,eligible
bract_projection_roughness,candidate,linear_endpoint,env_chelsa_bio12_native,904,165,eligible
bract_projection_roughness,candidate,linear_endpoint,env_chelsa_bio15_native,904,165,eligible
bract_projection_maximum,candidate,linear_endpoint,env_chelsa_bio01_native,904,165,eligible
bract_projection_maximum,candidate,linear_endpoint,env_chelsa_bio04_native,904,165,eligible
bract_projection_maximum,candidate,linear_endpoint,env_chelsa_bio12_native,904,165,eligible
bract_projection_maximum,candidate,linear_endpoint,env_chelsa_bio15_native,904,165,eligible
bract_spread_fraction,candidate,linear_endpoint,env_chelsa_bio01_native,904,165,eligible
bract_spread_fraction,candidate,linear_endpoint,env_chelsa_bio04_native,904,165,eligible
bract_spread_fraction,candidate,linear_endpoint,env_chelsa_bio12_native,904,165,eligible
bract_spread_fraction,candidate,linear_endpoint,env_chelsa_bio15_native,904,165,eligible
corolla_hue,primary,circular_joint,env_chelsa_bio01_native,779,155,eligible
corolla_hue,primary,circular_joint,env_chelsa_bio04_native,779,155,eligible
corolla_hue,primary,circular_joint,env_chelsa_bio12_native,779,155,eligible
corolla_hue,primary,circular_joint,env_chelsa_bio15_native,779,155,eligible
