obs_id,taxon_name,n_usable_heads,min_dimension_median,sharpness_median,involucre_projection_roughness,involucre_spread_fraction,spine_relative_length_max_proxy,coordinate_precision_tier,env_chelsa_bio01_native,env_chelsa_bio04_native,env_chelsa_bio12_native,env_chelsa_bio15_native,log_min_dimension,log1p_sharpness,resolution_stratum
357636,Cirsium pringlei,1,185.0,2094.916377050344,0.1217205952777046,0.3627450980392157,0.3303557564730269,high_le_1km,2826.0,3438.0,824.0,675.0,5.220355825078324,7.647746148199602,150_199
689742,Cirsium tancitaroense,1,166.0,2903.256718859155,0.061306227528007,0.2555555555555555,0.1166570984242132,moderate_1_to_10km,2840.0,1857.0,1978.0,1022.0,5.111987788356544,7.973932773848481,150_199
689745,Cirsium tancitaroense,1,319.0,592.198625929637,0.0779806210110325,0.1839080459770115,0.226659905316742,unknown,2840.0,1857.0,1978.0,1022.0,5.765191102784844,6.3855292938916355,300_plus
746801,Cirsium andrewsii,1,180.0,2203.648774285787,0.1096193520905584,0.3421052631578947,0.2444052780563882,moderate_1_to_10km,2862.0,1948.0,707.0,917.0,5.19295685089021,7.698323489155387,150_199
791785,Cirsium bicentenariale,1,229.0,673.7283228130741,0.0708565387579243,0.1935483870967742,0.2715813170198984,unknown,2892.0,3036.0,715.0,751.0,5.43372200355424,6.514310125132443,200_299
876845,Cirsium oaxacanum,2,276.5,1052.3048676594503,0.08126342690651275,0.30465258025193004,0.1696072604246407,unknown,2831.0,1708.0,1751.0,723.0,5.6222108209623896,6.959687993173744,200_299
1517235,Cirsium pinetorum,1,219.0,2340.669359708776,0.2598680417370798,0.3302752293577982,0.7551460743300056,high_le_1km,2878.0,2432.0,737.0,797.0,5.389071729816501,7.758619355586745,200_299
1606869,Cirsium subcoriaceum,1,342.0,1086.0022175582694,0.1203742369849961,0.3489062726350862,0.2725041298361361,high_le_1km,2875.0,1778.0,1384.0,886.0,5.834810737062605,6.991178927191133,300_plus
1701793,Cirsium texanum,1,333.0,1100.0547505793788,0.1245984543134148,0.41,0.2867947233042385,high_le_1km,2917.0,7272.0,1346.0,168.0,5.808142489980444,7.0040238635329475,300_plus
1866404,Cirsium candelabrum,1,318.0,4211.701807660273,0.1927841193000872,0.4175824175824176,0.4701467507627983,high_le_1km,2841.0,7618.0,722.0,141.0,5.762051382780177,8.345859480376093,300_plus
1945350,Cirsium nuttallii,1,204.0,2178.5757677491765,0.0984583423554514,0.3153153153153153,0.2718461770179777,high_le_1km,2925.0,6013.0,1697.0,134.0,5.318119993844216,7.686885534895799,200_299
1951910,Cirsium repandum,1,180.0,1294.445632142857,0.1107618660805669,0.3444444444444444,0.2588843188814361,moderate_1_to_10km,2895.0,7271.0,1236.0,211.0,5.19295685089021,7.166610032423628,150_199
