group,taxon,eligible_observations,displayed_observations
colour,Cirsium acaulon,588,50
colour,Cirsium altissimum,585,50
colour,Cirsium andersonii,85,50
colour,Cirsium arizonicum,123,50
colour,Cirsium arvense,10423,50
colour,Cirsium brevistylum,136,50
colour,Cirsium canescens,99,50
colour,Cirsium canum,302,50
colour,Cirsium carolinianum,117,50
colour,Cirsium ciliatum,63,50
colour,Cirsium cymosum,87,50
colour,Cirsium discolor,1142,50
colour,Cirsium dissectum,84,50
colour,Cirsium drummondii,86,50
colour,Cirsium echinus,59,50
colour,Cirsium edule,142,50
colour,Cirsium ehrenbergii,95,50
colour,Cirsium erisithales,223,50
colour,Cirsium esculentum,318,50
colour,Cirsium filipendulum,60,50
colour,Cirsium flodmanii,272,50
colour,Cirsium helenioides,152,50
colour,Cirsium heterophyllum,1576,50
colour,Cirsium hookerianum,120,50
colour,Cirsium horridulum,1207,50
colour,Cirsium japonicum,187,50
colour,Cirsium kamtschaticum,91,50
colour,Cirsium mexicanum,139,50
colour,Cirsium monspessulanum,81,50
colour,Cirsium muticum,574,50
colour,Cirsium neomexicanum,260,50
colour,Cirsium nuttallii,277,50
colour,Cirsium obvallatum,74,50
colour,Cirsium occidentale,361,50
colour,Cirsium ochrocentrum,182,50
colour,Cirsium oleraceum,1646,50
colour,Cirsium palustre,3039,50
colour,Cirsium pannonicum,83,50
colour,Cirsium parryi,66,50
colour,Cirsium pumilum,173,50
colour,Cirsium repandum,62,50
colour,Cirsium rhaphilepis,81,50
colour,Cirsium rivulare,305,50
colour,Cirsium scariosum,262,50
colour,Cirsium serratuloides,84,50
colour,Cirsium serrulatum,233,50
colour,Cirsium spinosissimum,164,50
colour,Cirsium subcoriaceum,74,50
colour,Cirsium texanum,455,50
colour,Cirsium tuberosum,64,50
colour,Cirsium ukranicum,61,50
colour,Cirsium undulatum,649,50
colour,Cirsium vulgare,11138,50
colour,Cirsium wheeleri,53,50
outline,Cirsium acaulon,541,50
outline,Cirsium altissimum,553,50
outline,Cirsium andersonii,83,50
outline,Cirsium arizonicum,119,50
outline,Cirsium arvense,9865,50
outline,Cirsium brevistylum,128,50
outline,Cirsium canescens,102,50
outline,Cirsium canum,288,50
outline,Cirsium carolinianum,115,50
outline,Cirsium ciliatum,64,50
outline,Cirsium cymosum,85,50
outline,Cirsium discolor,1097,50
outline,Cirsium dissectum,84,50
outline,Cirsium drummondii,85,50
outline,Cirsium echinus,55,50
outline,Cirsium edule,142,50
outline,Cirsium ehrenbergii,89,50
outline,Cirsium erisithales,220,50
outline,Cirsium esculentum,282,50
outline,Cirsium filipendulum,59,50
outline,Cirsium flodmanii,265,50
outline,Cirsium helenioides,150,50
outline,Cirsium heterophyllum,1562,50
outline,Cirsium hookerianum,108,50
outline,Cirsium horridulum,1159,50
outline,Cirsium japonicum,184,50
outline,Cirsium kamtschaticum,89,50
outline,Cirsium mexicanum,134,50
outline,Cirsium monspessulanum,82,50
outline,Cirsium muticum,559,50
outline,Cirsium neomexicanum,254,50
outline,Cirsium nuttallii,270,50
outline,Cirsium obvallatum,66,50
outline,Cirsium occidentale,352,50
outline,Cirsium ochrocentrum,173,50
outline,Cirsium oleraceum,1553,50
outline,Cirsium palustre,2923,50
outline,Cirsium pannonicum,81,50
outline,Cirsium parryi,59,50
outline,Cirsium pumilum,161,50
outline,Cirsium repandum,57,50
outline,Cirsium rhaphilepis,79,50
outline,Cirsium rivulare,307,50
outline,Cirsium scariosum,223,50
outline,Cirsium serratuloides,84,50
outline,Cirsium serrulatum,226,50
outline,Cirsium spinosissimum,140,50
outline,Cirsium subcoriaceum,74,50
outline,Cirsium texanum,443,50
outline,Cirsium tuberosum,62,50
outline,Cirsium ukranicum,60,50
outline,Cirsium undulatum,613,50
outline,Cirsium vulgare,10460,50
outline,Cirsium wheeleri,52,50
