group,predictor,taxa,status,rho,bootstrap_low,bootstrap_high
colour,environment_breadth,54,exploratory_no_spatial_or_phylogenetic_correction,-0.12643415284924717,-0.4084474414527161,0.12834217994947078
colour,geographic_breadth_km,54,exploratory_no_spatial_or_phylogenetic_correction,0.6000762340384981,0.37759841966950936,0.7551077681717336
involucre,environment_breadth,6,descriptive_only_fewer_than_15_taxa,,,
involucre,geographic_breadth_km,6,descriptive_only_fewer_than_15_taxa,,,
orientation,environment_breadth,54,exploratory_no_spatial_or_phylogenetic_correction,0.42367066895368777,0.16484448449048056,0.6229680747702334
orientation,geographic_breadth_km,54,exploratory_no_spatial_or_phylogenetic_correction,0.11858204688393366,-0.12077832456894058,0.3816315404730326
outline,environment_breadth,54,exploratory_no_spatial_or_phylogenetic_correction,0.40171526586620926,0.1365937653145294,0.6190461463131144
outline,geographic_breadth_km,54,exploratory_no_spatial_or_phylogenetic_correction,0.15113398132266054,-0.11570027199287865,0.4014754867559466
whole,environment_breadth,5,descriptive_only_fewer_than_15_taxa,,,
whole,geographic_breadth_km,5,descriptive_only_fewer_than_15_taxa,,,
