group,taxon_a,taxon_b,factor,density_overlap
orientation,Cirsium acaulon,Cirsium discolor,0.75,0.8493179185913106
orientation,Cirsium acaulon,Cirsium discolor,1.0,0.8646661787848559
orientation,Cirsium acaulon,Cirsium discolor,1.25,0.8750097050113279
orientation,Cirsium acaulon,Cirsium helenioides,0.75,0.8124485480360997
orientation,Cirsium acaulon,Cirsium helenioides,1.0,0.83406089704572
orientation,Cirsium acaulon,Cirsium helenioides,1.25,0.8539480634015364
orientation,Cirsium acaulon,Cirsium nuttallii,0.75,0.8764401926611448
orientation,Cirsium acaulon,Cirsium nuttallii,1.0,0.8895888316149458
orientation,Cirsium acaulon,Cirsium nuttallii,1.25,0.9036653020137397
orientation,Cirsium acaulon,Cirsium palustre,0.75,0.8238510035210496
orientation,Cirsium acaulon,Cirsium palustre,1.0,0.8486567332935548
orientation,Cirsium acaulon,Cirsium palustre,1.25,0.872924229599024
orientation,Cirsium acaulon,Cirsium tuberosum,0.75,0.6739844586314915
orientation,Cirsium acaulon,Cirsium tuberosum,1.0,0.6938337840267494
orientation,Cirsium acaulon,Cirsium tuberosum,1.25,0.7134158138177573
orientation,Cirsium acaulon,Cirsium vulgare,0.75,0.8528418929972563
orientation,Cirsium acaulon,Cirsium vulgare,1.0,0.8669390399269707
orientation,Cirsium acaulon,Cirsium vulgare,1.25,0.8776229406520761
orientation,Cirsium altissimum,Cirsium monspessulanum,0.75,0.8803675187674018
orientation,Cirsium altissimum,Cirsium monspessulanum,1.0,0.8955206967598949
orientation,Cirsium altissimum,Cirsium monspessulanum,1.25,0.9061817707808004
orientation,Cirsium altissimum,Cirsium neomexicanum,0.75,0.8282753878165693
orientation,Cirsium altissimum,Cirsium neomexicanum,1.0,0.8548006213814285
orientation,Cirsium altissimum,Cirsium neomexicanum,1.25,0.880935619878968
orientation,Cirsium altissimum,Cirsium palustre,0.75,0.8746946574882035
orientation,Cirsium altissimum,Cirsium palustre,1.0,0.8906467660229715
orientation,Cirsium altissimum,Cirsium palustre,1.25,0.900597600900949
orientation,Cirsium andersonii,Cirsium echinus,0.75,0.687687847563861
orientation,Cirsium andersonii,Cirsium echinus,1.0,0.7153412291771967
orientation,Cirsium andersonii,Cirsium echinus,1.25,0.7389695605508848
orientation,Cirsium andersonii,Cirsium mexicanum,0.75,0.7074834861395024
orientation,Cirsium andersonii,Cirsium mexicanum,1.0,0.7395629270330293
orientation,Cirsium andersonii,Cirsium mexicanum,1.25,0.7641428929548482
orientation,Cirsium andersonii,Cirsium monspessulanum,0.75,0.7657269302074966
orientation,Cirsium andersonii,Cirsium monspessulanum,1.0,0.7762722394155859
orientation,Cirsium andersonii,Cirsium monspessulanum,1.25,0.7875775759964413
orientation,Cirsium andersonii,Cirsium neomexicanum,0.75,0.6087127068104105
orientation,Cirsium andersonii,Cirsium neomexicanum,1.0,0.6417885045041191
orientation,Cirsium andersonii,Cirsium neomexicanum,1.25,0.6733945756472302
orientation,Cirsium arizonicum,Cirsium cymosum,0.75,0.833840897167492
orientation,Cirsium arizonicum,Cirsium cymosum,1.0,0.8606546752406312
orientation,Cirsium arizonicum,Cirsium cymosum,1.25,0.8839546902574571
orientation,Cirsium arizonicum,Cirsium helenioides,0.75,0.86598750797903
orientation,Cirsium arizonicum,Cirsium helenioides,1.0,0.8861836836674483
orientation,Cirsium arizonicum,Cirsium helenioides,1.25,0.9050575259447888
orientation,Cirsium arizonicum,Cirsium subcoriaceum,0.75,0.8432121349869406
orientation,Cirsium arizonicum,Cirsium subcoriaceum,1.0,0.8617718804637242
orientation,Cirsium arizonicum,Cirsium subcoriaceum,1.25,0.8739920857747916
orientation,Cirsium arvense,Cirsium canescens,0.75,0.8157096089954957
orientation,Cirsium arvense,Cirsium canescens,1.0,0.8312193522685332
orientation,Cirsium arvense,Cirsium canescens,1.25,0.8397615392522323
orientation,Cirsium arvense,Cirsium monspessulanum,0.75,0.8744727063295151
orientation,Cirsium arvense,Cirsium monspessulanum,1.0,0.8836827435714889
orientation,Cirsium arvense,Cirsium monspessulanum,1.25,0.8954837032387735
orientation,Cirsium arvense,Cirsium ochrocentrum,0.75,0.8446232341980202
orientation,Cirsium arvense,Cirsium ochrocentrum,1.0,0.8656286040700547
orientation,Cirsium arvense,Cirsium ochrocentrum,1.25,0.8816376318600472
orientation,Cirsium arvense,Cirsium ukranicum,0.75,0.7148303667810479
