obs_id,taxon_name,observed_on,photo_id,photo_index,photo_rank_within_observation,n_available_photos,photo_license_code,selected_image_url
100001528,Cirsium oleraceum,2021-10-31,166836525,0,1,3,cc-by-nc,https://inaturalist-open-data.s3.amazonaws.com/photos/166836525/medium.jpg
100001528,Cirsium oleraceum,2021-10-31,166836552,1,2,3,cc-by-nc,https://inaturalist-open-data.s3.amazonaws.com/photos/166836552/medium.jpg
100001528,Cirsium oleraceum,2021-10-31,166836583,2,3,3,cc-by-nc,https://inaturalist-open-data.s3.amazonaws.com/photos/166836583/medium.jpg
100004744,Cirsium vulgare,2021-10-10,166843292,0,1,3,,https://static.inaturalist.org/photos/166843292/medium.jpg
100004744,Cirsium vulgare,2021-10-10,166843323,1,2,3,,https://static.inaturalist.org/photos/166843323/medium.jpg
100004744,Cirsium vulgare,2021-10-10,166843353,2,3,3,,https://static.inaturalist.org/photos/166843353/medium.jpg
100015827,Cirsium vulgare,2021-10-31,166863809,0,1,2,,https://static.inaturalist.org/photos/166863809/medium.jpeg
100015827,Cirsium vulgare,2021-10-31,166864078,1,2,2,,https://static.inaturalist.org/photos/166864078/medium.jpeg
100042103,Cirsium altissimum,2021-10-31,166912044,0,1,3,cc-by-nc,https://inaturalist-open-data.s3.amazonaws.com/photos/166912044/medium.jpg
100042103,Cirsium altissimum,2021-10-31,166912061,1,2,3,cc-by-nc,https://inaturalist-open-data.s3.amazonaws.com/photos/166912061/medium.jpg
100042103,Cirsium altissimum,2021-10-31,166912072,2,3,3,cc-by-nc,https://inaturalist-open-data.s3.amazonaws.com/photos/166912072/medium.jpg
100060035,Cirsium vulgare,2021-10-30,166947031,0,1,2,,https://static.inaturalist.org/photos/166947031/medium.jpeg
100060035,Cirsium vulgare,2021-10-30,166947044,1,2,2,,https://static.inaturalist.org/photos/166947044/medium.jpeg
100071463,Cirsium pannonicum,2021-10-09,166966860,0,1,2,cc-by-nc,https://inaturalist-open-data.s3.amazonaws.com/photos/166966860/medium.jpg
100071463,Cirsium pannonicum,2021-10-09,166970112,1,2,2,cc-by-nc,https://inaturalist-open-data.s3.amazonaws.com/photos/166970112/medium.jpg
100182075,Cirsium vulgare,2021-10-31,167169341,0,1,4,cc-by-nc,https://inaturalist-open-data.s3.amazonaws.com/photos/167169341/medium.jpg
100182075,Cirsium vulgare,2021-10-31,167169366,1,2,4,cc-by-nc,https://inaturalist-open-data.s3.amazonaws.com/photos/167169366/medium.jpg
100182075,Cirsium vulgare,2021-10-31,167169395,2,3,4,cc-by-nc,https://inaturalist-open-data.s3.amazonaws.com/photos/167169395/medium.jpg
100182075,Cirsium vulgare,2021-10-31,167169435,3,4,4,cc-by-nc,https://inaturalist-open-data.s3.amazonaws.com/photos/167169435/medium.jpg
100207460,Cirsium arvense,2021-11-04,167215447,0,1,2,cc-by-nc,https://inaturalist-open-data.s3.amazonaws.com/photos/167215447/medium.jpg
100207460,Cirsium arvense,2021-11-04,167215489,1,2,2,cc-by-nc,https://inaturalist-open-data.s3.amazonaws.com/photos/167215489/medium.jpg
100314620,Cirsium arvense,2021-11-04,167407910,0,1,5,cc-by-nc,https://inaturalist-open-data.s3.amazonaws.com/photos/167407910/medium.jpeg
100314620,Cirsium arvense,2021-11-04,167407917,1,2,5,cc-by-nc,https://inaturalist-open-data.s3.amazonaws.com/photos/167407917/medium.jpeg
100314620,Cirsium arvense,2021-11-04,167407927,2,3,5,cc-by-nc,https://inaturalist-open-data.s3.amazonaws.com/photos/167407927/medium.jpeg
100314620,Cirsium arvense,2021-11-04,167407935,3,4,5,cc-by-nc,https://inaturalist-open-data.s3.amazonaws.com/photos/167407935/medium.jpeg
100314620,Cirsium arvense,2021-11-04,167407944,4,5,5,cc-by-nc,https://inaturalist-open-data.s3.amazonaws.com/photos/167407944/medium.jpeg
100314652,Cirsium vulgare,2021-11-04,167408981,0,1,4,cc-by-nc,https://inaturalist-open-data.s3.amazonaws.com/photos/167408981/medium.jpeg
100314652,Cirsium vulgare,2021-11-04,167408996,1,2,4,cc-by-nc,https://inaturalist-open-data.s3.amazonaws.com/photos/167408996/medium.jpeg
100314652,Cirsium vulgare,2021-11-04,167409008,2,3,4,cc-by-nc,https://inaturalist-open-data.s3.amazonaws.com/photos/167409008/medium.jpeg
100314652,Cirsium vulgare,2021-11-04,167409020,3,4,4,cc-by-nc,https://inaturalist-open-data.s3.amazonaws.com/photos/167409020/medium.jpeg
100323448,Cirsium ochrocentrum,2021-10-05,167426717,0,1,2,cc-by,https://inaturalist-open-data.s3.amazonaws.com/photos/167426717/medium.jpg
100323448,Cirsium ochrocentrum,2021-10-05,167426772,1,2,2,cc-by,https://inaturalist-open-data.s3.amazonaws.com/photos/167426772/medium.jpg
100331626,Cirsium oleraceum,2021-11-05,167414136,0,1,2,cc-by-nc,https://inaturalist-open-data.s3.amazonaws.com/photos/167414136/medium.jpg
100331626,Cirsium oleraceum,2021-11-05,167414067,1,2,2,cc-by-nc,https://inaturalist-open-data.s3.amazonaws.com/photos/167414067/medium.jpg
100357212,Cirsium vulgare,2021-11-05,167485866,0,1,2,,https://static.inaturalist.org/photos/167485866/medium.jpeg
100357212,Cirsium vulgare,2021-11-05,167485892,1,2,2,,https://static.inaturalist.org/photos/167485892/medium.jpeg
100393467,Cirsium arvense,2021-11-06,167549218,0,1,2,cc-by-nc,https://inaturalist-open-data.s3.amazonaws.com/photos/167549218/medium.jpeg
100393467,Cirsium arvense,2021-11-06,167549198,1,2,2,cc-by-nc,https://inaturalist-open-data.s3.amazonaws.com/photos/167549198/medium.jpeg
100406008,Cirsium vulgare,2021-11-06,167574661,0,1,2,,https://static.inaturalist.org/photos/167574661/medium.jpg
100406008,Cirsium vulgare,2021-11-06,167574681,1,2,2,,https://static.inaturalist.org/photos/167574681/medium.jpg
100406720,Cirsium arvense,2021-11-05,167575818,0,1,3,cc-by-nc,https://inaturalist-open-data.s3.amazonaws.com/photos/167575818/medium.jpg
100406720,Cirsium arvense,2021-11-05,167575830,1,2,3,cc-by-nc,https://inaturalist-open-data.s3.amazonaws.com/photos/167575830/medium.jpg
100406720,Cirsium arvense,2021-11-05,167575851,2,3,3,cc-by-nc,https://inaturalist-open-data.s3.amazonaws.com/photos/167575851/medium.jpg
100437984,Cirsium arvense,2021-07-03,167632055,0,1,2,cc-by-nc,https://inaturalist-open-data.s3.amazonaws.com/photos/167632055/medium.jpeg
100437984,Cirsium arvense,2021-07-03,167632117,1,2,2,cc-by-nc,https://inaturalist-open-data.s3.amazonaws.com/photos/167632117/medium.jpeg
100524216,Cirsium oleraceum,2021-11-07,167788367,0,1,2,cc-by-nc,https://inaturalist-open-data.s3.amazonaws.com/photos/167788367/medium.jpg
100524216,Cirsium oleraceum,2021-11-07,167788398,1,2,2,cc-by-nc,https://inaturalist-open-data.s3.amazonaws.com/photos/167788398/medium.jpg
100535807,Cirsium arvense,2021-11-07,167804963,0,1,2,cc-by,https://inaturalist-open-data.s3.amazonaws.com/photos/167804963/medium.jpeg
100535807,Cirsium arvense,2021-11-07,167804984,1,2,2,cc-by,https://inaturalist-open-data.s3.amazonaws.com/photos/167804984/medium.jpeg
100646662,Cirsium vulgare,2021-11-09,168011181,0,1,2,cc-by-sa,https://inaturalist-open-data.s3.amazonaws.com/photos/168011181/medium.jpeg
100646662,Cirsium vulgare,2021-11-09,168011206,1,2,2,cc-by-sa,https://inaturalist-open-data.s3.amazonaws.com/photos/168011206/medium.jpeg
10065008,Cirsium anartiolepis,2018-02-09,13856433,0,1,7,cc-by-nc,https://inaturalist-open-data.s3.amazonaws.com/photos/13856433/medium.jpg
10065008,Cirsium anartiolepis,2018-02-09,13856457,1,2,7,cc-by-nc,https://inaturalist-open-data.s3.amazonaws.com/photos/13856457/medium.jpg
10065008,Cirsium anartiolepis,2018-02-09,13856459,2,3,7,cc-by-nc,https://inaturalist-open-data.s3.amazonaws.com/photos/13856459/medium.jpg
10065008,Cirsium anartiolepis,2018-02-09,13856461,3,4,7,cc-by-nc,https://inaturalist-open-data.s3.amazonaws.com/photos/13856461/medium.jpg
