scope,scale,matrix_type,left,right,value
complete18_min5,within_taxon,inferential_unit_association_strength,bract_projection_asymmetry,bract_projection_maximum,0.6010014269562733
complete18_min5,within_taxon,inferential_unit_association_strength,bract_projection_asymmetry,bract_projection_p95,0.6000050364006185
complete18_min5,within_taxon,inferential_unit_association_strength,bract_projection_asymmetry,bract_projection_peak_density,0.16592555522475907
complete18_min5,within_taxon,inferential_unit_association_strength,bract_projection_asymmetry,bract_projection_roughness,0.5986949631498809
complete18_min5,within_taxon,inferential_unit_association_strength,bract_projection_asymmetry,bract_spread_fraction,0.22393509257686203
complete18_min5,within_taxon,inferential_unit_association_strength,bract_projection_asymmetry,capitulum_outline_aspect_ratio,0.0019803758132128342
complete18_min5,within_taxon,inferential_unit_association_strength,bract_projection_asymmetry,capitulum_outline_circularity,0.021347738734770305
complete18_min5,within_taxon,inferential_unit_association_strength,bract_projection_asymmetry,capitulum_outline_solidity,0.014111787157141637
complete18_min5,within_taxon,inferential_unit_association_strength,bract_projection_asymmetry,capitulum_width_profile_cv,0.021666004051504772
complete18_min5,within_taxon,inferential_unit_association_strength,bract_projection_asymmetry,corolla_hue,0.06170953792899826
complete18_min5,within_taxon,inferential_unit_association_strength,bract_projection_asymmetry,corolla_lab_chroma,0.018120361747314
complete18_min5,within_taxon,inferential_unit_association_strength,bract_projection_asymmetry,corolla_lab_lightness,0.027637566036497578
complete18_min5,within_taxon,inferential_unit_association_strength,bract_projection_asymmetry,involucre_apical_taper_ratio,0.015245997453172951
complete18_min5,within_taxon,inferential_unit_association_strength,bract_projection_asymmetry,involucre_basal_taper_ratio,0.07315313749217352
complete18_min5,within_taxon,inferential_unit_association_strength,bract_projection_asymmetry,involucre_length_width_ratio,0.1693922903989973
complete18_min5,within_taxon,inferential_unit_association_strength,bract_projection_asymmetry,orientation_image_vertical_angle,0.03446989922395221
complete18_min5,within_taxon,inferential_unit_association_strength,bract_projection_maximum,bract_projection_p95,0.7960181633034611
complete18_min5,within_taxon,inferential_unit_association_strength,bract_projection_maximum,bract_projection_peak_density,0.28706183347879843
complete18_min5,within_taxon,inferential_unit_association_strength,bract_projection_maximum,bract_projection_roughness,0.8041611986608156
