scale,scope,unit_id,member_endpoint_ids,n_registered_endpoints_in_unit,module,analysis_tier_metadata_only,validation_status,inferential_unit,predictor,environment_block,n_observations,n_taxa,status,beta_std,standard_error,confidence_low_95,confidence_high_95,p_value,p_value_method,beta_sine_std,beta_cosine_std,effect_magnitude,effect_direction_degrees,q_fdr_bh_global_family,fdr_significant_0_05,result_retained_regardless_of_q
within_taxon,within_taxon,bract_projection_maximum,bract_projection_maximum,1,armature,candidate,requires_botanical_calibration,linear_endpoint,chelsa_bio01,thermal,2277,78,ok,0.016158298370017206,0.012328054179091564,-0.008004243820460763,0.040320840560495175,0.18996139344027396,taxon_clustered_ols,,,,,0.40947156464880935,False,True
within_taxon,within_taxon,bract_projection_maximum,bract_projection_maximum,1,armature,candidate,requires_botanical_calibration,linear_endpoint,chelsa_bio04,thermal,2277,78,ok,0.023410414639203344,0.02228704116399872,-0.020271383364195792,0.06709221264260248,0.29353204750205864,taxon_clustered_ols,,,,,0.5492827423553375,False,True
within_taxon,within_taxon,bract_projection_maximum,bract_projection_maximum,1,armature,candidate,requires_botanical_calibration,linear_endpoint,chelsa_bio12,hydric,2277,78,ok,0.01806062775769649,0.03005428354481157,-0.04084468557128897,0.07696594108668195,0.5478842360774121,taxon_clustered_ols,,,,,0.7727620941688872,False,True
within_taxon,within_taxon,bract_projection_maximum,bract_projection_maximum,1,armature,candidate,requires_botanical_calibration,linear_endpoint,chelsa_bio15,hydric,2277,78,ok,-0.027353462004490556,0.013819826165641013,-0.05443982356175121,-0.00026710044722989823,0.04778321605775409,taxon_clustered_ols,,,,,0.18814641322740674,False,True
within_taxon,within_taxon,bract_projection_maximum,bract_projection_maximum,1,armature,candidate,requires_botanical_calibration,linear_endpoint,chelsa_rsds_mean,radiative_atmospheric,2277,78,ok,-0.010284415846940549,0.01293793363643159,-0.0356422998087158,0.015073468114834702,0.4266693181722586,taxon_clustered_ols,,,,,0.6774278221889354,False,True
within_taxon,within_taxon,bract_projection_maximum,bract_projection_maximum,1,armature,candidate,requires_botanical_calibration,linear_endpoint,chelsa_vpd_mean,radiative_atmospheric,2277,78,ok,0.025170895237957368,0.013797106376965348,-0.0018709363517626226,0.05221272682767736,0.06809759662896388,taxon_clustered_ols,,,,,0.21694435175362042,False,True
within_taxon,within_taxon,bract_projection_maximum,bract_projection_maximum,1,armature,candidate,requires_botanical_calibration,linear_endpoint,chelsa_sfcwind_mean,mechanical,2277,78,ok,-0.006893315593501965,0.020887131708001633,-0.04783134148152975,0.03404471029452582,0.741379626909261,taxon_clustered_ols,,,,,0.910561895656198,False,True
within_taxon,within_taxon,bract_projection_maximum,bract_projection_maximum,1,armature,candidate,requires_botanical_calibration,linear_endpoint,chelsa_gsp,growing_season_water_input,2277,78,ok,-0.01644767952316488,0.003265663818075481,-0.022848262992208386,-0.010047096054121372,4.739970187905649e-07,taxon_clustered_ols,,,,,1.7917087310283354e-05,True,True
within_taxon,within_taxon,bract_projection_maximum,bract_projection_maximum,1,armature,candidate,requires_botanical_calibration,linear_endpoint,chelsa_npp,resource_productivity,2277,78,ok,0.029428555308992146,0.014335115654595457,0.0013322449117687298,0.05752486570621557,0.04008230151793714,taxon_clustered_ols,,,,,0.168345666375336,False,True
within_taxon,within_taxon,bract_projection_peak_density,bract_projection_peak_density,1,armature,candidate,requires_botanical_calibration,linear_endpoint,chelsa_bio01,thermal,2277,78,ok,-0.029140395335964898,0.014942558193485259,-0.0584272712320899,0.00014648056016010325,0.05115692373434046,taxon_clustered_ols,,,,,0.19337317171580698,False,True
