endpoint_id,module,analysis_tier_metadata_only,validation_status,spatial_cell_width_degrees,status,n_observations,n_taxa,n_spatial_cells,latitude_min,latitude_max,longitude_min,longitude_max,value_q05,value_median,value_q95
orientation_image_vertical_angle,orientation,primary,frozen_technical,5.0,ok,37251,254,422.0,-55.0510945,71.0296911355,-177.9271995919,178.3353122593,8.612058021049917,65.7455628612977,149.16313245541335
corolla_lab_lightness,colour,primary,frozen_technical,5.0,ok,40510,253,431.0,-55.0510945,71.0296911355,-177.9271995919,178.3353122593,48.6274528503418,68.62744903564453,83.13725280761719
corolla_lab_chroma,colour,primary,frozen_technical,5.0,ok,40510,253,431.0,-55.0510945,71.0296911355,-177.9271995919,178.3353122593,9.05538558959961,25.0,53.29486017227173
corolla_hue_sin,colour,primary,frozen_technical,5.0,ok,40503,253,431.0,-55.0510945,71.0296911355,-177.9271995919,178.3353122593,-0.9726141058983732,-0.005434684489513,0.9410692529327433
corolla_hue_cos,colour,primary,frozen_technical,5.0,ok,40503,253,431.0,-55.0510945,71.0296911355,-177.9271995919,178.3353122593,-0.17267691736699145,0.6368012868048603,0.9777574349052937
visible_floret_fraction,display,candidate,requires_botanical_calibration,5.0,unexecuted_no_measurement,0,0,,,,,,,,
corolla_white_pixel_fraction,colour,descriptive_only,requires_botanical_calibration,5.0,unexecuted_no_measurement,0,0,,,,,,,,
corolla_redmagenta_pixel_fraction,colour,descriptive_only,requires_botanical_calibration,5.0,unexecuted_no_measurement,0,0,,,,,,,,
corolla_purple_pixel_fraction,colour,descriptive_only,requires_botanical_calibration,5.0,unexecuted_no_measurement,0,0,,,,,,,,
corolla_yellow_pixel_fraction,colour,descriptive_only,requires_botanical_calibration,5.0,unexecuted_no_measurement,0,0,,,,,,,,
capitulum_outline_aspect_ratio,shape,primary,frozen_technical,5.0,ok,38511,253,428.0,-55.0510945,71.0296911355,-177.9271995919,178.3353122593,0.8404255319148937,1.0112359550561798,1.2727272727272727
capitulum_outline_circularity,shape,primary,frozen_technical,5.0,ok,38511,253,428.0,-55.0510945,71.0296911355,-177.9271995919,178.3353122593,0.1887606627190654,0.3218170055994888,0.527952930915443
capitulum_outline_solidity,shape,primary,frozen_technical,5.0,ok,38511,253,428.0,-55.0510945,71.0296911355,-177.9271995919,178.3353122593,0.6817861490127822,0.7851314524186965,0.8939557473270956
capitulum_width_profile_cv,shape,primary,frozen_technical,5.0,ok,38511,253,428.0,-55.0510945,71.0296911355,-177.9271995919,178.3353122593,0.2547323480121035,0.3915750716465243,0.5002650986637709
involucre_length_width_ratio,involucre_architecture,candidate,requires_botanical_calibration,5.0,ok,2326,127,259.0,-50.1980995449,70.72685623,-155.951466867,177.4146796565,0.6795898938647515,1.0510913101652617,1.9038978806595424
involucre_apical_taper_ratio,involucre_architecture,candidate,requires_botanical_calibration,5.0,ok,2326,127,259.0,-50.1980995449,70.72685623,-155.951466867,177.4146796565,0.5687261510555666,0.9831321283682766,1.6365181842127257
involucre_basal_taper_ratio,involucre_architecture,candidate,requires_botanical_calibration,5.0,ok,2326,127,259.0,-50.1980995449,70.72685623,-155.951466867,177.4146796565,0.4602516602386373,0.819001198190723,1.3694015447605994
bract_projection_roughness,involucre_architecture,candidate,requires_botanical_calibration,5.0,ok,2326,127,259.0,-50.1980995449,70.72685623,-155.951466867,177.4146796565,0.05371788985136125,0.12304383368089425,0.238923934479155
bract_projection_p95,involucre_architecture,candidate,requires_botanical_calibration,5.0,ok,2326,127,259.0,-50.1980995449,70.72685623,-155.951466867,177.4146796565,0.08031132642652518,0.1953389636149761,0.40077546992183843
bract_projection_maximum,armature,candidate,requires_botanical_calibration,5.0,ok,2326,127,259.0,-50.1980995449,70.72685623,-155.951466867,177.4146796565,0.10920418430547135,0.2821368067044957,0.6214926390081921
bract_spread_fraction,involucre_architecture,candidate,requires_botanical_calibration,5.0,ok,2326,127,259.0,-50.1980995449,70.72685623,-155.951466867,177.4146796565,0.1888067312595614,0.3466666666666667,0.5
bract_projection_peak_density,armature,candidate,requires_botanical_calibration,5.0,ok,2326,127,259.0,-50.1980995449,70.72685623,-155.951466867,177.4146796565,0.0483870967741935,0.08,0.12
bract_projection_asymmetry,involucre_architecture,candidate,requires_botanical_calibration,5.0,ok,2326,127,259.0,-50.1980995449,70.72685623,-155.951466867,177.4146796565,0.002000723540067,0.022075726902902798,0.08072218619038733
involucre_surface_edge_density,indumentum,validation_only,requires_botanical_calibration,5.0,ok,909,85,190.0,-46.7888272576,69.861093855,-155.951466867,177.4146796565,0.0416067055676516,0.2583262169086251,0.3575787102465905
involucre_surface_lbp_entropy,indumentum,validation_only,requires_botanical_calibration,5.0,ok,909,85,190.0,-46.7888272576,69.861093855,-155.951466867,177.4146796565,0.7236303910225391,0.8296737155229925,0.8681052963728861
involucre_surface_high_frequency_energy,indumentum,validation_only,requires_botanical_calibration,5.0,ok,909,85,190.0,-46.7888272576,69.861093855,-155.951466867,177.4146796565,0.06390168970814125,0.3636363636363636,0.8600985221674872
involucre_surface_specular_fraction,exudate,validation_only,requires_botanical_calibration,5.0,ok,909,85,190.0,-46.7888272576,69.861093855,-155.951466867,177.4146796565,0.0,0.0,0.006589570263406872
