"model_group","predictor","status"
"climate","chelsa_bio01","used"
"climate","chelsa_bio04","used"
"climate","chelsa_bio12","used"
"climate","chelsa_bio15","used"
"climate_topography","chelsa_bio01","used"
"climate_topography","chelsa_bio04","used"
"climate_topography","chelsa_bio12","used"
"climate_topography","chelsa_bio15","used"
"climate_topography","topo_elevation","used"
"climate_topography","topo_slope","used"
"climate_topography","topo_roughness","dropped_correlation"
"climate_soil","chelsa_bio01","used"
"climate_soil","chelsa_bio04","used"
"climate_soil","chelsa_bio12","used"
"climate_soil","chelsa_bio15","used"
"climate_soil","soil_bdod_0_30cm","used"
"climate_soil","soil_cec_0_30cm","used"
"climate_soil","soil_cfvo_0_30cm","used"
"climate_soil","soil_clay_0_30cm","used"
"climate_soil","soil_sand_0_30cm","used"
"climate_soil","soil_silt_0_30cm","dropped_correlation"
"climate_soil","soil_nitrogen_0_30cm","used"
"climate_soil","soil_phh2o_0_30cm","used"
"climate_soil","soil_soc_0_30cm","used"
"climate_soil","soil_ocd_0_30cm","used"
"full","chelsa_bio01","used"
"full","chelsa_bio04","used"
"full","chelsa_bio12","used"
"full","chelsa_bio15","used"
"full","topo_elevation","used"
"full","topo_slope","used"
"full","topo_roughness","dropped_correlation"
"full","soil_bdod_0_30cm","used"
"full","soil_cec_0_30cm","used"
"full","soil_cfvo_0_30cm","used"
"full","soil_clay_0_30cm","used"
"full","soil_sand_0_30cm","used"
"full","soil_silt_0_30cm","dropped_correlation"
"full","soil_nitrogen_0_30cm","used"
"full","soil_phh2o_0_30cm","used"
"full","soil_soc_0_30cm","used"
"full","soil_ocd_0_30cm","used"
