scale,construct_id,kind,predictor,n,baseline_beta_vector,spatial_beta_vector,spatial_effect_magnitude,spatial_permutation_p_value,vector_alignment_cosine,residual_morans_i,residual_morans_p_value,residual_morans_n,broad_spatial_sensitivity_pass
within_taxon,floral_chroma,scalar,chelsa_vpd_mean,40460,[-0.0289618968396134],[-0.04213559744217739],0.04213559744217739,0.001,1.0,0.015625233484421037,0.022,5000,False
within_taxon,floral_hue,joint,chelsa_bio01,40453,"[-0.02008951234372179, -0.005112461103196003]","[0.020039143821633913, -0.03145283549635771]",0.037294076551981664,0.001,-0.31273482759920246,0.04925058441380309,0.001,5000,False
within_taxon,floral_hue,joint,chelsa_bio04,40453,"[0.053326428108571224, -0.02823883669544217]","[0.048755780987246256, -0.017457645559961637]",0.05178702123286849,0.001,0.9897694084259476,0.0648072860897387,0.001,5000,False
within_taxon,floral_hue,joint,chelsa_bio12,40453,"[-0.04381629682711277, -0.0036354162953371274]","[-0.020074692331225285, -0.006230259666907355]",0.02101926277752024,0.002,0.9762997983830384,0.04517481108522637,0.001,5000,False
within_taxon,floral_hue,joint,chelsa_bio15,40453,"[0.006346021661660985, 0.020009158079054404]","[-0.00799086445017595, 0.01406107559201012]",0.016173056651892014,0.035,0.6793624090798913,0.035241016586028455,0.001,5000,False
within_taxon,floral_hue,joint,chelsa_rsds_mean,40453,"[-0.027955949665953436, 0.019453901091159995]","[-0.04270262379255198, 0.06653678779757169]",0.07906110427503091,0.001,0.9240470621693423,0.04691873692556763,0.001,5000,False
within_taxon,floral_hue,joint,chelsa_sfcwind_mean,40448,"[0.017104803292322394, 0.015933333100244078]","[0.0216738955622878, 0.02274608434331866]",0.03141881763845236,0.001,0.9982258678813362,0.05721409322174017,0.001,5000,False
within_taxon,floral_hue,joint,chelsa_npp,40453,"[-0.03358525386331503, -0.031054800060754464]","[0.0001483686476938835, -0.04446802329612009]",0.044468270813242755,0.001,0.6764522554619616,0.05057448667148798,0.001,5000,False
within_taxon,head_elongation,scalar,chelsa_bio04,38458,[0.0137691408925955],[0.01108352999029803],0.01108352999029803,0.175,1.0,-0.0027356262041403788,0.67,5000,False
among_taxon,presentation_angle,scalar,chelsa_bio12,142,[0.3043592858977514],[0.2860860884731874],0.2860860884731874,0.023,1.0,-0.06657754417195297,0.072,142,True
among_taxon,presentation_angle,scalar,chelsa_gsp,142,[0.2580783524593076],[0.2496105357197499],0.2496105357197499,0.171,1.0,-0.05519250497968551,0.154,142,False
among_taxon,floral_lightness,scalar,chelsa_gsp,143,[-0.2387183035708991],[-0.1888792878285705],0.1888792878285705,0.268,1.0,-0.010644755088580213,0.774,143,False
among_taxon,floral_chroma,scalar,chelsa_rsds_mean,143,[-0.3453720170895292],[-0.7124111817658662],0.7124111817658662,0.005,1.0,-0.04717112937935781,0.188,143,True
among_taxon,floral_chroma,scalar,chelsa_npp,143,[0.2463466831515829],[0.41369861092340715],0.41369861092340715,0.001,1.0,-0.03177181367771702,0.418,143,True
among_taxon,floral_hue,joint,chelsa_bio01,143,"[-0.2355245549777384, 0.19187250221677596]","[-0.2479562541406298, -0.05422857692980984]",0.2538169468796063,0.044,0.6224489353955417,0.18141988862157996,0.001,143,False
among_taxon,floral_hue,joint,chelsa_bio04,143,"[-0.0038746684239680906, -0.3347435267376224]","[-0.09562240654728923, 0.23925198092017852]",0.25765316805373173,0.322,-0.924223823799737,0.1679313977122857,0.001,143,False
among_taxon,floral_hue,joint,chelsa_bio15,143,"[0.016240914860631214, 0.40986899788711784]","[-0.2084699453579605, 0.20768292316892797]",0.29426504157568883,0.056,0.6771650487730886,0.17952584386259343,0.001,143,False
among_taxon,floral_hue,joint,chelsa_rsds_mean,143,"[0.252489344226262, 0.43199584531390545]","[0.5005112343215509, 0.42764962911536475]",0.6583279585165676,0.014,0.9444710558375867,0.17766380438561452,0.001,143,False
among_taxon,floral_hue,joint,chelsa_sfcwind_mean,143,"[0.11236691604727121, -0.2753010084802331]","[0.1796328493545791, -0.12431970207153935]",0.21845674375125435,0.023,0.8376189329233447,0.19366736402608536,0.001,143,False
among_taxon,floral_hue,joint,chelsa_npp,143,"[-0.31323272001482094, -0.03798972163737524]","[-0.21609624828698887, -0.2675677531123406]",0.3439332653717846,0.01,0.7174052049792904,0.12897204320253358,0.002,143,False
among_taxon,projection_pattern,joint,chelsa_bio04,44,"[-0.25476837792110063, -0.4003181502923175]","[-0.6187062191491813, -0.2817350302785617]",0.6798323417578314,0.134,0.8382518067905408,-0.0022169184133565343,0.977,44,False
